object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,contents,evenodd,fill,fontname,linewidth,non_stroking_color,points,pts,size,stroke,stroking_color,text,title,upright,uri
char,2,233.50960000000003,237.95760000000004,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,4.4480000000000075,8.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",u,,1,
char,2,237.87760000000003,242.32560000000004,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,4.4480000000000075,8.0,0.556,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",n,,1,
char,2,242.24560000000002,244.90160000000003,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,2.656000000000006,8.0,0.332,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]",t,,1,
char,2,244.90160000000003,247.12560000000002,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,2.2239999999999895,8.0,0.278,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]", ,,1,
char,2,246.8856,249.1096,667.7315,675.7315,116.26850000000002,116.26850000000002,124.26850000000002,2.2239999999999895,8.0,0.278,,,,SFVHUL+AvenirLTStd-Book,,"[0, 0, 0, 1]",,,8.0,,"[0, 0, 0, 1]", ,,1,
char,2,158.5176,162.9766,660.1635,666.6635,125.3365,125.3365,131.8365,4.459000000000003,6.5,0.686,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",A,,1,
char,2,162.9116,165.06959999999998,660.1635,666.6635,125.3365,125.3365,131.8365,2.157999999999987,6.5,0.332,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",t,,1,
char,2,165.06959999999998,167.22759999999997,660.1635,666.6635,125.3365,125.3365,131.8365,2.157999999999987,6.5,0.332,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",t,,1,
char,2,167.1626,170.5361,660.1635,666.6635,125.3365,125.3365,131.8365,3.373500000000007,6.5,0.519,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",a,,1,
char,2,170.47109999999998,173.6041,660.1635,666.6635,125.3365,125.3365,131.8365,3.1330000000000098,6.5,0.482,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",c,,1,
char,2,173.5391,177.1531,660.1635,666.6635,125.3365,125.3365,131.8365,3.6140000000000043,6.5,0.556,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",h,,1,
char,2,177.0881,178.89509999999999,660.1635,666.6635,125.3365,125.3365,131.8365,1.806999999999988,6.5,0.278,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]", ,,1,
char,2,178.8301,182.2036,660.1635,666.6635,125.3365,125.3365,131.8365,3.373500000000007,6.5,0.519,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",a,,1,
char,2,182.1386,183.94559999999998,660.1635,666.6635,125.3365,125.3365,131.8365,1.806999999999988,6.5,0.278,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]", ,,1,
char,2,183.8806,187.0136,660.1635,666.6635,125.3365,125.3365,131.8365,3.1330000000000098,6.5,0.482,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",c,,1,
char,2,186.9486,190.8031,660.1635,666.6635,125.3365,125.3365,131.8365,3.8545000000000016,6.5,0.593,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",o,,1,
char,2,190.7381,196.2761,660.1635,666.6635,125.3365,125.3365,131.8365,5.538000000000011,6.5,0.852,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",m,,1,
char,2,196.2111,200.18259999999998,660.1635,666.6635,125.3365,125.3365,131.8365,3.971499999999992,6.5,0.611,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",p,,1,
char,2,200.1176,201.6776,660.1635,666.6635,125.3365,125.3365,131.8365,1.5600000000000023,6.5,0.24,,,,SFVHUL+AvenirLTStd-BookOblique,,"[0, 0, 0, 1]",,,6.5,,"[0, 0, 0, 1]",l,,1,
